appid,name
1500,Darwinia
1530,Multiwinia
1900,Earth 2160
2200,Quake III Arena
2270,Wolfenstein 3D
2280,Ultimate Doom
2290,Final DOOM
2300,DOOM II
2310,QUAKE
2330,QUAKE II Mission Pack: The Reckoning
2350,QUAKE III: Team Arena
2600,Vampire: The Masquerade - Bloodlines
2810,X3: Reunion
2820,X3: Terran Conflict
2990,FlatOut 2
3130,Men of War: Red Tide
3170,King's Bounty: Armored Princess
3480,Peggle Deluxe
3700,Sniper Elite
3920,Sid Meier's Pirates!
4720,Condemned: Criminal Origins
6030,STAR WARS Jedi Knight II - Jedi Outcast
6370,Bloodline Champions
6810,Commandos: Beyond the Call of Duty
6830,Commandos 2: Men of Courage
6840,Commandos 3: Destination Berlin
6870,Battlestations: Midway
6910,Deus Ex: Game of the Year Edition
6980,Thief: Deadly Shadows
7000,Tomb Raider: Legend
7520,Two Worlds II HD
7600,Sid Meier's Railroads!
7650,X-COM: Terror From the Deep
7660,X-COM: Apocalypse
7730,X-COM: Interceptor
7770,X-COM: Enforcer
7830,Men of War
8000,Tomb Raider: Anniversary
8080,Kane and Lynch: Dead Men
8140,Tomb Raider: Underworld
8600,RACE 07
9010,Return to Castle Wolfenstein
9050,DOOM 3
9160,Master Levels for Doom II
9310,"Warhammer 40,000: Dawn of War ??Winter Assault"
10150,Prototype
11610,Dragon Nest
12130,Manhunt
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12170,Grand Theft Auto
12180,Grand Theft Auto 2
13200,Unreal 2: The Awakening
13210,Unreal Tournament 3 Black
13230,Unreal Tournament 2004: Editor's Choice Edition
13240,Unreal Tournament: Game of the Year Edition
13250,Unreal Gold
13560,Tom Clancy's Splinter Cell
13570,Tom Clancy's Splinter Cell Chaos Theory
15120,Tom Clancy's Rainbow Six Vegas 2
15320,IL-2 Sturmovik: 1946
15710,Oddworld: Abe's Exoddus
17430,Need for Speed Undercover
17440,SPORE Creepy & Cute Parts Pack
17570,"Pirates, Vikings, and Knights II"
17710,Nuclear Dawn
18700,And Yet It Moves
20530,Red Faction
20550,Red Faction II
21130,LEGO Harry Potter: Years 1-4
21680,Bionic Commando: Rearmed
22180,Penumbra Overture
22200,Zeno Clash
22370,Fallout 3: Game of the Year Edition
22490,Fallout: New Vegas
22650,Alien Breed 2: Assault
24420,Aquaria
24780,SimCity 4 Deluxe Edition
25000,Overgrowth
25800,Europa Universalis III Complete
25890,Hearts of Iron III
25900,King's Bounty: The Legend
26500,Cogs
26900,Crayon Physics Deluxe
28000,Kane & Lynch 2: Dog Days
29180,Osmos
29800,Caster
31290,Back to the Future: The Game
32380,STAR WARS Jedi Knight: Dark Forces II
32390,STAR WARS Jedi Knight - Mysteries of the Sith
32460,Monkey Island 2 Special Edition: LeChuck?ôs Revenge
32500,STAR WARS: The Force Unleashed II
32510,LEGO Star Wars III - The Clone Wars
33100,Alien Shooter
33120,Alien Shooter 2: Reloaded
33460,From Dust
34870,Sniper: Ghost Warrior 2
35130,Lara Croft and the Guardian of Light
35140,Batman: Arkham Asylum Game of the Year Edition
35700,Trine Enchanted Edition
38700,Toki Tori
38720,RUSH
38740,EDGE
39150,FINAL FANTASY VIII
39200,Dungeon Siege II
39510,Gothic II: Gold Edition
39650,The Guild II
39680,The Guild II Renaissance
39690,ArcaniA
40300,Risen
40990,Mafia
41100,Hammerfight
41300,Altitude
41700,S.T.A.L.K.E.R.: Call of Pripyat
41900,The Bard's Tale
42120,Lead and Gold: Gangs of the Wild West
42960,Victoria II
45740,Dead Rising 2
46500,Syberia
46510,Syberia II
47400,Stronghold 3 Gold
48220,Might & Magic: Heroes VI
49540,Aliens: Colonial Marines Collection
49600,Beat Hazard
55040,Atom Zombie Smasher
55110,Red Faction: Armageddon
57650,Dungeons
58520,Blood Bowl - Legendary Edition
63710,BIT.TRIP RUNNER
64000,Men of War: Assault Squad
65300,Dustforce DX
65540,Gothic 1
65780,ARMA: Gold Edition
70100,Hacker Evolution
70300,VVVVVV
70400,Recettear: An Item Shop's Tale
70660,Worms Pinball
71230,Crazy Taxi
71250,Sonic Adventure DX
72000,Closure
72200,Universe Sandbox Legacy
91600,Sanctum
91700,E.Y.E: Divine Cybermancy
94200,Jamestown
94400,Nidhogg
94590,Puzzle Agent 2
95300,Capsized
95400,ibb & obb
97100,Section 8: Prejudice
98200,Frozen Synapse
98400,Hard Reset Extended Edition
98800,Dungeons of Dredmor
99700,NightSky
99910,Puzzle Pirates
102840,Shank 2
104200,BEEP
107800,Rochard
108200,Ticket to Ride
108210,Memoir '44 Online
111600,Serious Sam Double D XXL
111900,Guardians of Middle-earth
115100,Costume Quest
115110,Stacking
200940,Sonic CD
201210,Pox Nora
201570,Really Big Sky
203630,Warlock - Master of the Arcane
203810,Dear Esther
203830,The Dark Eye: Chains of Satinav
204030,Fable - The Lost Chapters
204180,Waveform
204240,The Bridge
204530,Infested Planet
205650,The Testament of Sherlock Holmes
205710,EverQuest
205910,Tiny and Big: Grandpa's Leftovers
206500,AirMech Strike
207650,A Virus Named TOM
207690,Botanicula
207930,Sacred Citadel
208480,Assassin?ôs Creed III
208730,Game of Thrones
209540,Strike Suit Zero
209830,Lone Survivor: The Director's Cut
210970,The Witness
211160,Viking: Battle for Asgard
211740,Thief II: The Metal Age
212200,Mabinogi
212390,Continent of the Ninth Seal
213610,Sonic Adventure 2
213650,Dwarfs - F2P
213850,Magic 2014 ??Duels of the Planeswalkers
214360,Tower Wars
214550,Eets Munchies
214770,Guacamelee! Gold Edition
214790,The Basement Collection
214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy
214970,Intrusion 2
215100,Ragnarok Online
215120,ROSE Online
215470,Primal Carnage
215510,Rocketbirds: Hardboiled Chicken
215930,Jagged Alliance 2 - Wildfire
217750,Age of Conan: Unchained
217920,Alien Rage - Unlimited
